Id,Player_Name,Team,Credit_Point,Role,Speciality,StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings,ClientPlayerID
11,Urvil Patel,CSK,5.0,WK,,Urvil Patel,1486.0,1.0,0000-00-00,True,Indian,203.0,2022-100mb00000001486-1a1e0ee4543611,13.0,CSK,Chennai Super Kings,203.0,13.0,2022-100mb00000001486-1a1e0ee4543611,1.0,1.0,31.0,11.0,3.0,281.81,27.27,3.66,2.2,90.32,3.87,8.0,3.0,0.0,0.0,1.0,4.0,1.0,0.0,,0.0,0.0,0.0,31,31.00,0.0,0.0,5653.0
12,Ravindra Jadeja,CSK,8.5,AR,slow left arm orthdox,Ravindra Jadeja,46.0,12.0,0000-00-00,False,Indian,203.0,2018-100mb00000000046-06b5ba89f88b11,13.0,CSK,Chennai Super Kings,203.0,13.0,2018-100mb00000000046-06b5ba89f88b11,12.0,8.0,279.0,199.0,54.0,140.2,27.13,3.68,6.03,53.76,1.92,145.0,95.0,17.0,0.0,24.0,9.0,8.0,4.0,69.75,2.0,0.0,0.0,77*,34.88,5.0,0.0,9.0
13,Riyan Parag,RR,8.5,AR,off break,Riyan Parag,189.0,12.0,0000-00-00,True,Indian,203.0,2019-100mb00000000189-ac8c327a44b711,18.0,RR,Rajasthan Royals,203.0,18.0,2019-100mb00000000189-ac8c327a44b711,12.0,11.0,377.0,221.0,69.0,170.58,31.22,3.2,4.16,70.02,2.48,152.0,85.0,14.0,0.0,27.0,26.0,10.0,2.0,188.5,1.0,0.0,0.0,95,37.70,7.0,0.0,4445.0
14,Wanindu Hasaranga,RR,7.5,AR,leg break,Wanindu Hasaranga,377.0,9.0,0000-00-00,True,Overseas,203.0,2020-100mb00000000377-c8cec37e2dec11,18.0,RR,Rajasthan Royals,203.0,18.0,2020-100mb00000000377-c8cec37e2dec11,4.0,0.0,9.0,14.0,7.0,64.28,50.0,2.0,0.0,0.0,1.28,7.0,5.0,2.0,0.0,0.0,0.0,4.0,0.0,,0.0,0.0,0.0,4,2.25,2.0,0.0,3082.0
15,Ravichandran Ashwin,CSK,6.5,AR,off break,Ravichandran Ashwin,45.0,8.0,0000-00-00,True,Indian,203.0,2018-100mb00000000045-f658f1b6f88a11,13.0,CSK,Chennai Super Kings,203.0,13.0,2018-100mb00000000045-f658f1b6f88a11,3.0,1.0,20.0,22.0,10.0,90.9,45.45,2.2,11.0,40.0,1.66,12.0,8.0,2.0,0.0,2.0,0.0,3.0,0.0,,0.0,0.0,0.0,11,6.67,3.0,0.0,8.0
16,Sam Curran,CSK,7.0,AR,left arm medium fast,Sam Curran,138.0,5.0,0000-00-00,False,Overseas,203.0,2019-100mb00000000138-5bd8fcf6449d11,13.0,CSK,Chennai Super Kings,203.0,13.0,2019-100mb00000000138-5bd8fcf6449d11,5.0,7.0,114.0,84.0,28.0,135.71,33.33,3.0,5.6,59.64,2.03,56.0,36.0,5.0,0.0,11.0,4.0,5.0,0.0,,1.0,0.0,0.0,88,22.80,3.0,0.0,2939.0
17,Shubham Dubey,RR,6.0,BAT,,Shubham Dubey,3112.0,8.0,0000-00-00,False,Indian,203.0,2024-100mb00000003112-76787b7ddf9f11,18.0,RR,Rajasthan Royals,203.0,18.0,2024-100mb00000003112-76787b7ddf9f11,7.0,2.0,99.0,59.0,20.0,167.79,33.89,2.95,4.21,72.72,2.53,39.0,23.0,2.0,0.0,6.0,8.0,4.0,3.0,33.0,0.0,0.0,0.0,34*,24.75,1.0,0.0,20688.0
18,Noor Ahmad,CSK,8.5,BOWL,left arm wrist spin,Noor Ahmad,975.0,12.0,0000-00-00,True,Overseas,203.0,2022-100mb00000000975-56f6385ba44611,13.0,CSK,Chennai Super Kings,203.0,13.0,2022-100mb00000000975-56f6385ba44611,5.0,0.0,5.0,16.0,12.0,31.25,75.0,1.33,0.0,0.0,1.25,4.0,3.0,1.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,2,1.25,2.0,0.0,20590.0
19,Khaleel Ahmed,CSK,8.0,BOWL,left arm fast medium,Khaleel Ahmed,8.0,12.0,0000-00-00,True,Indian,203.0,2018-100mb00000000008-787fc4ece99b11,13.0,CSK,Chennai Super Kings,203.0,13.0,2018-100mb00000000008-787fc4ece99b11,2.0,0.0,1.0,2.0,1.0,50.0,50.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,1*,-,1.0,0.0,2964.0
21,Maheesh Theekshana,RR,7.0,BOWL,off break,Maheesh Theekshana,629.0,11.0,0000-00-00,True,Overseas,203.0,2021-100mb00000000629-11c540100bd311,18.0,RR,Rajasthan Royals,203.0,18.0,2021-100mb00000000629-11c540100bd311,4.0,4.0,10.0,27.0,17.0,37.03,62.96,1.58,0.0,0.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,5,5.00,0.0,0.0,20570.0
22,Tushar Deshpande,RR,7.0,BOWL,right arm medium,Tushar Deshpande,539.0,8.0,0000-00-00,False,Indian,203.0,2020-100mb00000000539-04833b65639b11,18.0,RR,Rajasthan Royals,203.0,18.0,2020-100mb00000000539-04833b65639b11,4.0,4.0,7.0,8.0,3.0,87.5,37.5,2.66,0.0,0.0,1.4,5.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,2.33,0.0,0.0,0.0,3,7.00,1.0,0.0,3257.0
23,Anshul Kamboj,CSK,6.5,BOWL,right arm medium,Anshul Kamboj,3106.0,6.0,0000-00-00,True,Indian,203.0,2024-100mb00000003106-047b3989df9b11,13.0,CSK,Chennai Super Kings,203.0,13.0,2024-100mb00000003106-047b3989df9b11,4.0,1.0,9.0,9.0,5.0,100.0,55.55,1.8,9.0,44.44,2.25,4.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,4.5,0.0,0.0,0.0,4*,4.50,0.0,0.0,20702.0
24,Fazalhaq Farooqi,RR,6.5,BOWL,left arm fast medium,Fazalhaq Farooqi,1011.0,4.0,0000-00-00,True,Overseas,203.0,2022-100mb00000001011-d957ea18a45111,18.0,RR,Rajasthan Royals,203.0,18.0,2022-100mb00000001011-d957ea18a45111,1.0,0.0,2.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2*,-,0.0,0.0,20610.0
25,Akash Madhwal,RR,6.0,BOWL,right arm fast medium,Akash Madhwal,1045.0,2.0,0000-00-00,True,Indian,203.0,2022-100mb00000001045-ff63138dd51a11,18.0,RR,Rajasthan Royals,203.0,18.0,2022-100mb00000001045-ff63138dd51a11,1.0,0.0,4.0,9.0,5.0,44.44,55.55,1.8,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,4*,-,0.0,0.0,20681.0
