BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsRuns,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,ClientPlayerID
Marco Jansen,true,Overseas,PBKS,Punjab Kings,11,203,11,15,2021-100mb00000000586-8238f85f91de11,217,318,89,41.01,137,28.90,19.72,19.72,66.03,4.82,8.79,36.1,67,16,0,30,15,8,1,0,11,11,17,3,17,3,17/3,17/3,0,0,0,0,0,17068
Jofra Archer,true,Overseas,RR,Rajasthan Royals,12,203,12,18,2019-100mb00000000181-80151ce844b611,273,431,110,40.29,181,39.18,24.81,24.81,70.53,4.07,9.47,45.3,84,13,2,49,18,17,2,10,4,11,25,3,25,3,25/3,25/3,1,1,0,0,0,3502
Maheesh Theekshana,true,Overseas,RR,Rajasthan Royals,11,203,11,18,2021-100mb00000000629-11c540100bd311,252,410,72,28.57,199,37.27,22.90,22.90,58.53,4.75,9.76,42.0,109,18,1,39,14,17,2,0,2,11,26,2,26,2,26/2,26/2,0,0,0,0,0,20570
Sunil Narine,false,Overseas,KKR,Kolkata Knight Riders,11,203,11,16,2019-100mb00000000156-a6b6f42c44aa11,246,309,81,32.92,170,30.90,24.60,24.60,49.19,8.48,7.53,41.0,123,13,1,11,18,3,2,0,6,10,13,3,13,3,13/3,13/3,0,0,0,0,0,203
Wanindu Hasaranga,true,Overseas,RR,Rajasthan Royals,9,203,9,18,2020-100mb00000000377-c8cec37e2dec11,204,311,53,25.98,154,31.10,20.40,20.40,58.52,5.51,9.14,34.0,103,10,1,20,17,3,0,1,4,10,35,4,35,4,35/4,35/4,0,0,1,0,0,3082
Deepak Chahar,true,Indian,MI,Mumbai Indians,12,203,12,17,2019-100mb00000000091-8640595343ec11,210,326,90,42.85,136,32.60,21.00,21.00,66.25,4.37,9.31,35.0,59,13,1,36,12,14,2,0,2,10,12,2,12,2,12/2,12/2,0,0,0,0,0,140
Yash Dayal,true,Indian,RCB,Royal Challengers Bengaluru,11,203,11,19,2022-100mb00000000978-bc824605a44611,216,346,69,31.94,155,34.60,21.60,21.60,62.42,4.59,9.61,36.0,86,16,0,33,14,6,2,1,1,10,18,2,18,2,18/2,18/2,0,0,0,0,0,20591
Avesh Khan,true,Indian,LSG,Lucknow Super Giants,10,203,10,77,2019-100mb00000000109-5cc123ab449411,225,379,64,28.44,167,37.90,22.50,22.50,66.49,4.16,10.10,37.3,93,14,0,36,18,6,0,0,0,10,37,3,37,3,37/3,37/3,0,0,0,0,0,1561
Vipraj Nigam,true,Indian,DC,Delhi Capitals,11,203,10,14,2024-100mb00000003560-cd0dc81babd711,162,256,57,35.18,113,28.44,18.00,18.00,64.84,4.90,9.48,27.0,65,10,0,16,17,4,4,0,4,9,18,2,18,2,18/2,18/2,0,0,0,0,0,22053
Mukesh Kumar,true,Indian,DC,Delhi Capitals,10,203,10,14,2022-100mb00000001462-cbc59298427c11,189,311,66,34.92,137,34.55,21.00,21.00,65.59,4.39,9.87,31.3,73,8,0,27,16,12,2,0,3,9,33,4,33,4,33/4,33/4,1,1,1,0,0,5622
Sandeep Sharma,true,Indian,RR,Rajasthan Royals,10,203,10,18,2019-100mb00000000220-18a6ceb644c011,219,361,54,24.65,185,40.11,24.33,24.33,54.29,5.21,9.89,36.3,104,19,1,28,14,19,1,0,2,9,21,2,21,2,21/2,21/2,0,0,0,0,0,1112
Ravi Bishnoi,true,Indian,LSG,Lucknow Super Giants,10,203,10,77,2020-100mb00000000520-c2b1e0df638711,216,375,67,31.01,159,41.66,24.00,24.00,67.73,4.07,10.41,36.0,81,15,0,32,21,10,0,0,1,9,18,2,18,2,18/2,18/2,0,0,0,0,0,19351
Ravindra Jadeja,false,Indian,CSK,Chennai Super Kings,12,203,12,13,2018-100mb00000000046-06b5ba89f88b11,197,280,69,35.02,133,35.00,24.62,24.62,60.00,5.62,8.52,32.5,83,12,0,21,14,3,2,0,1,8,24,2,24,2,24/2,24/2,0,0,0,0,0,9
Rashid Khan,true,Overseas,GT,Gujarat Titans,11,203,11,35,2019-100mb00000000218-42d9d6f544bf11,246,373,74,30.08,176,46.62,30.75,30.75,60.58,5.59,9.09,41.0,112,16,1,19,25,4,0,0,7,8,25,2,25,2,25/2,25/2,0,0,0,0,0,2885
Ashwani Kumar,false,Indian,MI,Mumbai Indians,4,203,4,17,2024-100mb00000003569-45ffd8bdabdc11,72,133,22,30.55,54,16.62,9.00,9.00,70.67,3.78,11.08,12.0,27,4,0,10,9,3,1,0,1,8,24,4,24,4,24/4,24/4,0,0,1,0,0,22030
Andre Russell,true,Overseas,KKR,Kolkata Knight Riders,12,203,8,16,2019-100mb00000000141-e67c41d144a711,97,183,27,27.83,74,22.87,12.12,12.12,73.22,3.46,11.31,16.1,41,2,0,17,11,2,2,1,0,8,21,2,21,2,21/2,21/2,0,0,0,0,0,177
Jaydev Unadkat,true,Indian,SRH,Sunrisers Hyderabad,5,203,5,20,2019-100mb00000000180-1352e0b244b611,95,110,35,36.84,62,15.71,13.57,13.57,52.72,7.30,6.94,15.5,44,3,0,10,3,2,0,0,0,7,35,3,35,3,35/3,35/3,0,0,0,0,0,86
Karn Sharma,false,Indian,MI,Mumbai Indians,5,203,4,17,2019-100mb00000000098-7a8c366b43f611,72,97,23,31.94,50,16.16,12.00,12.00,55.67,6.54,8.08,12.0,34,4,0,6,5,1,0,0,5,6,23,3,23,3,23/3,23/3,0,0,0,0,0,1118
Moeen Ali,false,Overseas,KKR,Kolkata Knight Riders,6,203,5,16,2019-100mb00000000206-501d92f644bb11,96,136,29,30.20,70,22.66,16.00,16.00,54.41,6.85,8.50,16.0,47,6,0,5,9,3,0,0,0,6,23,2,23,2,23/2,23/2,1,1,0,0,0,1735
Vignesh Puthur,true,Indian,MI,Mumbai Indians,5,203,5,17,2024-100mb00000003566-b0cbccf8abdb11,72,109,24,33.33,49,18.16,12.00,12.00,64.22,5.53,9.08,12.0,32,3,0,4,9,1,0,0,0,6,32,3,32,3,32/3,32/3,0,0,0,0,0,22266
Eshan Malinga,false,Overseas,SRH,Sunrisers Hyderabad,4,203,4,20,2024-100mb00000003339-537276b84ff411,90,142,26,28.88,68,23.66,15.00,15.00,64.78,4.28,9.46,15.0,40,3,0,17,4,4,0,0,2,6,36,2,36,2,36/2,36/2,0,0,0,0,0,22228
Zeeshan Ansari,true,Indian,SRH,Sunrisers Hyderabad,9,203,9,20,2024-100mb00000003575-83bb5544abdf11,191,311,48,25.13,148,51.83,31.83,31.83,60.45,4.89,9.76,31.5,91,12,1,23,16,4,1,0,1,6,42,3,42,3,42/3,42/3,0,0,0,0,0,22007
Mohammad Shami,true,Indian,SRH,Sunrisers Hyderabad,9,203,9,20,2018-100mb00000000047-1bfc8ff2f88b11,180,337,60,33.33,127,56.16,30.00,30.00,77.74,3.15,11.23,30.0,56,10,0,40,17,6,1,0,11,6,28,2,28,2,28/2,28/2,0,0,0,0,0,94
Tushar Deshpande,false,Indian,RR,Rajasthan Royals,8,203,8,18,2020-100mb00000000539-04833b65639b11,144,270,40,27.77,123,45.00,24.00,24.00,63.70,3.89,11.25,24.0,56,10,1,25,12,19,0,0,1,6,44,3,44,3,44/3,44/3,0,0,0,0,0,3257
Will Jacks,true,Overseas,MI,Mumbai Indians,11,203,6,17,2023-100mb00000001941-9401571cc40411,72,93,28,38.88,48,18.60,14.40,14.40,53.76,6.54,7.75,12.0,29,4,0,8,3,4,0,0,0,5,14,2,14,2,14/2,14/2,0,0,0,0,0,5629
Axar Patel,false,Indian,DC,Delhi Capitals,11,203,10,14,2019-100mb00000000110-79ae08f5449411,186,253,60,32.25,129,50.60,37.20,37.20,58.49,6.00,8.16,31.0,88,7,0,19,12,3,0,1,0,5,19,2,19,2,19/2,19/2,0,0,0,0,0,1113
Ravichandran Ashwin,true,Indian,CSK,Chennai Super Kings,8,203,8,13,2018-100mb00000000045-f658f1b6f88a11,162,242,51,31.48,114,48.40,32.40,32.40,62.80,5.22,8.96,27.0,73,7,0,17,14,3,0,0,3,5,48,2,48,2,48/2,48/2,0,0,0,0,0,8
Lockie Ferguson,true,Overseas,PBKS,Punjab Kings,4,203,4,15,2019-100mb00000000069-7aeb5c411e3711,68,104,28,41.17,48,20.80,13.60,13.60,59.61,5.66,9.17,11.2,25,3,0,5,7,8,0,0,3,5,37,2,37,2,37/2,37/2,0,0,0,0,0,3729
Suyash Sharma,true,Indian,RCB,Royal Challengers Bengaluru,10,203,10,19,2023-100mb00000001932-5539f1d7c3fd11,234,322,80,34.18,158,80.50,58.50,58.50,60.24,5.57,8.25,39.0,98,15,0,29,13,4,0,5,3,4,26,2,26,2,26/2,26/2,0,0,0,0,0,5668
Mitchell Santner,false,Overseas,MI,Mumbai Indians,9,203,9,17,2019-100mb00000000075-0984e17e1e4011,171,236,53,30.99,125,59.00,42.75,42.75,54.23,6.10,8.28,28.3,81,8,1,20,8,7,0,0,3,4,43,2,43,2,43/2,43/2,0,0,0,0,0,1903
Glenn Maxwell,true,Overseas,PBKS,Punjab Kings,7,203,6,15,2018-100mb00000000028-acc7d0a3e99d11,78,110,28,35.89,54,27.50,19.50,19.50,60.00,5.57,8.46,13.0,32,4,0,9,5,4,0,0,1,4,5,1,5,1,5/1,5/1,0,0,0,0,0,282
Anshul Kamboj,true,Indian,CSK,Chennai Super Kings,6,203,6,13,2024-100mb00000003106-047b3989df9b11,96,138,39,40.62,58,34.50,24.00,24.00,69.56,4.57,8.62,16.0,31,5,0,15,6,0,1,0,1,4,16,1,16,1,16/1,16/1,0,0,0,0,0,20702
Aiden Markram,true,Overseas,LSG,Lucknow Super Giants,11,203,4,77,2019-100mb00000000287-ca1a6bb17ae311,60,88,14,23.33,48,22.00,15.00,15.00,50.00,7.50,8.80,10.0,34,4,0,2,6,2,0,0,0,4,30,2,30,2,30/2,30/2,0,0,0,0,0,1667
Harpreet Brar,false,Indian,PBKS,Punjab Kings,4,203,3,15,2019-100mb00000000130-89338eb7449a11,48,73,19,39.58,30,18.25,12.00,12.00,71.23,4.36,9.12,8.0,18,1,0,7,4,0,1,0,0,4,25,2,25,2,25/2,25/2,0,0,0,0,0,5441
Mohd Arshad Khan,false,Indian,GT,Gujarat Titans,6,203,6,35,2022-100mb00000000988-ad5c752aa44a11,84,132,35,41.66,54,33.00,21.00,21.00,72.72,3.81,9.42,14.0,23,4,0,18,4,5,0,0,2,4,17,1,17,1,17/1,17/1,0,0,0,0,0,20599
Ishant Sharma,true,Indian,GT,Gujarat Titans,7,203,7,35,2018-100mb00000000050-4663b710f88b11,110,205,35,31.81,82,51.25,27.50,27.50,72.19,3.43,11.18,18.2,36,7,0,22,10,7,0,0,5,4,18,1,18,1,18/1,18/1,0,0,0,0,0,38
Lungisani Ngidi,true,Overseas,RCB,Royal Challengers Bengaluru,1,203,1,19,2019-100mb00000000099-b2d4548e43f611,24,30,9,37.50,15,10.00,8.00,8.00,60.00,6.00,7.50,4.0,10,1,0,3,1,0,0,0,0,3,30,3,30,3,30/3,30/3,0,0,0,0,0,3746
Prince Yadav,true,Indian,LSG,Lucknow Super Giants,6,203,6,77,2022-100mb00000001225-8dbd714d040c11,137,225,43,31.38,101,75.00,45.66,45.66,64.00,4.41,9.85,22.5,52,11,0,21,10,7,0,0,1,3,29,1,29,1,29/1,29/1,0,0,0,0,0,22097
Azmatullah Omarzai,true,Overseas,PBKS,Punjab Kings,4,203,3,15,2022-100mb00000001354-5a766b041e0411,60,101,21,35.00,43,33.66,20.00,20.00,61.38,4.61,10.10,10.0,19,7,0,8,5,4,0,0,1,3,33,2,33,2,33/2,33/2,0,0,0,0,0,20685
Dushmantha Chameera,true,Overseas,DC,Delhi Capitals,4,203,3,14,2021-100mb00000000608-14fdf8c4e64711,54,95,11,20.37,50,31.66,18.00,18.00,54.73,4.90,10.55,9.0,28,4,0,7,4,7,0,0,0,3,24,1,24,1,24/1,24/1,0,0,0,0,0,817
Akash Deep,true,Indian,LSG,Lucknow Super Giants,4,203,4,77,2022-100mb00000001007-1363a306a45011,72,147,22,30.55,55,49.00,24.00,24.00,74.82,2.88,12.25,12.0,21,4,1,20,5,5,0,0,0,3,55,2,55,2,55/2,55/2,0,0,0,0,0,14800
Akash Singh,true,Indian,LSG,Lucknow Super Giants,1,203,1,77,2020-100mb00000000535-66ae8e79639911,24,30,9,37.50,15,15.00,12.00,12.00,60.00,6.00,7.50,4.0,10,1,0,3,1,0,0,0,0,2,30,2,30,2,30/2,30/2,0,0,0,0,0,12585
Gerald Coetzee,true,Overseas,GT,Gujarat Titans,2,203,2,35,2023-100mb00000002535-239c770f61da11,36,46,11,30.55,26,23.00,18.00,18.00,39.13,9.00,7.66,6.0,16,4,1,3,1,1,0,0,0,2,10,1,10,1,10/1,10/1,0,0,0,0,0,20686
Riyan Parag,true,Indian,RR,Rajasthan Royals,12,203,7,18,2019-100mb00000000189-ac8c327a44b711,90,118,22,24.44,71,59.00,45.00,45.00,40.67,9.00,7.86,15.0,50,8,0,6,4,3,0,0,1,2,12,1,12,1,12/1,12/1,0,0,0,0,0,4445
Liam Livingstone,true,Overseas,RCB,Royal Challengers Bengaluru,7,203,5,19,2019-100mb00000000183-f4a991db44b611,54,76,10,18.51,44,38.00,27.00,27.00,47.36,6.75,8.44,9.0,32,4,0,6,2,0,0,0,0,2,28,2,28,2,28/2,28/2,0,0,0,0,0,3644
Kamindu Mendis,false,Overseas,SRH,Sunrisers Hyderabad,4,203,4,20,2021-100mb00000000627-efccfcf90bd211,42,60,11,26.19,31,30.00,21.00,21.00,56.66,6.00,8.57,7.0,22,2,0,4,3,0,0,0,0,2,4,1,4,1,4/1,4/1,0,0,0,0,0,22077
Xavier Bartlett,true,Overseas,PBKS,Punjab Kings,3,203,3,15,2024-100mb00000003572-5731c9b6abdd11,54,84,25,46.29,29,42.00,27.00,27.00,73.80,4.15,9.33,9.0,10,6,0,8,5,0,0,0,0,2,26,1,26,1,26/1,26/1,0,0,0,0,0,22112
M Siddharth,true,Indian,LSG,Lucknow Super Giants,2,203,2,77,2020-100mb00000000532-63bf237a639811,42,67,12,28.57,31,33.50,21.00,21.00,65.67,4.66,9.57,7.0,21,0,0,5,4,1,0,0,1,2,39,2,39,2,39/2,39/2,0,0,0,0,0,7119
Kumar Kartikeya Singh,true,Indian,RR,Rajasthan Royals,4,203,4,18,2022-100mb00000001015-396b0615c6d411,48,78,16,33.33,33,39.00,24.00,24.00,69.23,4.36,9.75,8.0,20,1,0,6,5,1,0,0,0,2,21,1,21,1,21/1,21/1,0,0,0,0,0,20629
Mohit Sharma,true,Indian,DC,Delhi Capitals,7,203,7,14,2019-100mb00000000100-f196053e43f611,126,210,28,22.22,109,105.00,63.00,63.00,54.28,5.25,10.00,21.0,68,7,1,15,9,9,2,0,2,2,10,1,10,1,10/1,10/1,0,0,0,0,0,1107
Kagiso Rabada,false,Overseas,GT,Gujarat Titans,2,203,2,35,2019-100mb00000000116-dbd48930449611,48,83,14,29.16,37,41.50,24.00,24.00,65.06,4.00,10.37,8.0,18,4,0,9,3,3,0,0,1,2,41,1,41,1,41/1,41/1,0,0,0,0,0,1664
Washington Sundar,false,Indian,GT,Gujarat Titans,5,203,4,35,2018-100mb00000000020-9223b16ce99c11,59,104,14,23.72,47,52.00,29.50,29.50,63.46,4.53,10.57,9.5,28,4,0,6,7,2,0,1,0,2,28,1,28,1,28/1,28/1,0,0,0,0,0,2973
Adam Zampa,true,Overseas,SRH,Sunrisers Hyderabad,2,203,2,20,2018-100mb00000000024-431d2bf7e99d11,48,94,10,20.83,40,47.00,24.00,24.00,70.21,3.69,11.75,8.0,24,1,0,6,7,2,0,0,0,2,46,1,46,1,46/1,46/1,0,0,0,0,0,958
Mayank Yadav,true,Indian,LSG,Lucknow Super Giants,2,203,2,77,2022-100mb00000000987-e0fbfce6a44911,48,100,18,37.50,35,50.00,24.00,24.00,78.00,3.20,12.50,8.0,13,2,0,6,9,5,0,0,0,2,40,2,40,2,40/2,40/2,0,0,0,0,0,20585
Simarjeet Singh,true,Indian,SRH,Sunrisers Hyderabad,4,203,4,20,2021-100mb00000000622-e0d6c0e8ef8711,60,141,22,36.66,41,70.50,30.00,30.00,89.36,2.40,14.10,10.0,14,1,0,12,13,2,1,4,1,2,46,2,46,2,46/2,46/2,0,0,0,0,0,10789
Anukul Roy,false,Indian,KKR,Kolkata Knight Riders,1,203,1,16,2019-100mb00000000160-970c8ab644ac11,24,27,8,33.33,17,27.00,24.00,24.00,44.44,8.00,6.75,4.0,12,1,0,3,0,1,0,0,0,1,27,1,27,1,27/1,27/1,0,0,0,0,0,3774
Anrich Nortje,true,Overseas,KKR,Kolkata Knight Riders,1,203,1,16,2019-100mb00000000142-040303a144a811,18,23,10,55.55,8,23.00,18.00,18.00,86.95,3.60,7.66,3.0,3,0,0,5,0,0,0,1,0,1,23,1,23,1,23/1,23/1,0,0,0,0,0,5433
Corbin Bosch,true,Overseas,MI,Mumbai Indians,2,203,2,17,2022-100mb00000001041-53fbf642d3a511,42,55,24,57.14,21,55.00,42.00,42.00,72.72,5.25,7.85,7.0,8,2,0,4,4,3,0,0,1,1,26,1,26,1,26/1,26/1,0,0,0,0,0,20680
Nathan Ellis,true,Overseas,CSK,Chennai Super Kings,1,203,1,13,2021-100mb00000000633-40c59a2c160011,24,38,6,25.00,19,38.00,24.00,24.00,47.36,6.00,9.50,4.0,9,5,0,3,1,1,0,0,1,1,38,1,38,1,38/1,38/1,0,0,0,0,0,17118
Kulwant Khejroliya,false,Indian,GT,Gujarat Titans,1,203,1,35,2019-100mb00000000204-8361537344ba11,18,29,4,22.22,15,29.00,18.00,18.00,62.06,4.50,9.66,3.0,10,0,0,3,1,1,0,0,0,1,29,1,29,1,29/1,29/1,0,0,0,0,0,3835
Sam Curran,false,Overseas,CSK,Chennai Super Kings,5,203,5,13,2019-100mb00000000138-5bd8fcf6449d11,72,133,18,25.00,56,133.00,72.00,72.00,69.17,3.78,11.08,12.0,31,4,0,11,8,2,0,0,2,1,34,1,34,1,34/1,34/1,0,0,0,0,0,2939
Rasikh Dar,true,Indian,RCB,Royal Challengers Bengaluru,2,203,2,19,2019-100mb00000000172-1befbbeb44af11,36,70,14,38.88,24,70.00,36.00,36.00,82.85,3.00,11.66,6.0,10,0,0,7,5,2,0,0,1,1,35,1,35,1,35/1,35/1,0,0,0,0,0,20577
Spencer Johnson,false,Overseas,KKR,Kolkata Knight Riders,4,203,4,16,2023-100mb00000002518-9a5f0c5357b311,68,133,26,38.23,47,133.00,68.00,68.00,78.19,3.09,11.73,11.2,16,4,0,14,8,5,0,0,1,1,42,1,42,1,42/1,42/1,0,0,0,0,0,20699
Mukesh Choudhary,false,Indian,CSK,Chennai Super Kings,2,203,2,13,2022-100mb00000000970-8f107726a44511,36,71,11,30.55,25,71.00,36.00,36.00,81.69,2.76,11.83,6.0,11,1,0,10,3,0,0,0,0,1,21,1,21,1,21/1,21/1,0,0,0,0,0,20575
Yudhvir Singh Charak,true,Indian,RR,Rajasthan Royals,3,203,3,18,2021-100mb00000000587-d15a3db891de11,42,84,17,40.47,29,84.00,42.00,42.00,78.57,3.00,12.00,7.0,8,3,0,9,5,4,0,0,0,1,26,1,26,1,26/1,26/1,0,0,0,0,0,10842
Yash Thakur,true,Indian,PBKS,Punjab Kings,2,203,2,15,2022-100mb00000001550-b8b1d54854ee11,39,79,11,28.20,32,79.00,39.00,39.00,70.88,3.25,12.15,6.3,14,1,1,8,4,3,1,0,1,1,39,1,39,1,39/1,39/1,0,0,0,0,0,5624
Romario Shepherd,true,Overseas,RCB,Royal Challengers Bengaluru,4,203,3,19,2019-100mb00000000371-481ee0be14fc11,24,51,6,25.00,19,51.00,24.00,24.00,74.50,3.00,12.75,4.0,8,2,0,5,3,1,0,0,0,1,18,1,18,1,18/1,18/1,0,0,0,0,0,20609
