PlayerKey,TotalRuns_Bat,DBPercent_Bat,BdryPercent_Bat,Outs_Bat,FiftyPlusRuns_Bat,BattingAverage,Catches,Stumpings,RightHandedBat,PlayerId,TotalRunsConceded,BoundaryPercentage_Bowler,BoundaryFrequency,OversBowled,FourWickets,Credit_Point,Role,Speciality,Matches,TeamCode,SRRI,DBBI_Bat,BRRI,DBBI_Bowler
kuldeepyadav,18.0,37.5,44.44,3.0,0.0,6.00,0.0,0.0,False,2018-100mb00000000014-227bc550e99c11,322.0,44.72,9.09,47.0,0.0,8.5,BOWL,Left-arm wrist spin,13.0,DC,2.26,1.51,1.01,0.24
madhavtiwari,3.0,50.0,0.0,1.0,0.0,3.00,1.0,0.0,,,,,,,,5.0,AR,,1.0,DC,0.75,0.5,,
marcojansen,75.0,31.14,48.0,3.0,0.0,25.00,5.0,0.0,True,2021-100mb00000000586-8238f85f91de11,359.0,68.52,4.43,39.1,0.0,8.0,AR,Left-arm fast,12.0,PBKS,3.31,1.65,1.11,0.05
marcusstoinis,82.0,40.81,73.17,4.0,0.0,20.50,0.0,0.0,,,,,,,,7.0,AR,Left-arm medium,8.0,PBKS,4.35,2.06,,
mitchellstarc,6.0,40.0,0.0,2.0,0.0,3.00,7.0,0.0,False,2018-100mb00000000031-b334eaf6f08611,366.0,75.4,3.48,36.0,0.0,8.0,BOWL,Right-arm fast,11.0,DC,1.13,0.6,1.45,0.04
mohitsharma,1.0,66.66,0.0,1.0,0.0,1.00,0.0,0.0,True,2019-100mb00000000100-f196053e43f611,210.0,54.28,5.25,21.0,0.0,7.0,BOWL,Right-arm medium fast,7.0,DC,0.36,0.33,0.06,-0.4
mukeshkumar,,,,,,,,,True,2022-100mb00000001462-cbc59298427c11,359.0,67.4,4.17,35.3,1.0,7.5,BOWL,Right-arm medium,11.0,DC,0.0,,0.79,-0.05
mustafizurrahman,,,,,,,,,False,2019-100mb00000000258-e46e7f697acb11,54.0,59.25,6.0,7.0,0.0,7.0,BOWL,Left-arm fast medium,2.0,DC,0.0,,0.26,-0.25
nehalwadhera,280.0,35.39,70.0,8.0,2.0,35.00,4.0,0.0,,,,,,,,7.5,BAT,,11.0,PBKS,5.18,2.05,,
prabhsimransingh,458.0,32.2,74.67,12.0,4.0,38.17,2.0,1.0,,,,,,,,8.5,WK,,12.0,PBKS,6.08,2.17,,
priyansharya,356.0,35.29,79.77,12.0,1.0,29.67,4.0,0.0,,,,,,,,8.5,BAT,,12.0,PBKS,6.45,2.24,,
sameerrizvi,63.0,48.14,69.84,3.0,0.0,21.00,1.0,0.0,,,,,,,,6.0,BAT,,4.0,DC,2.73,1.92,,
shashanksingh,273.0,25.0,55.67,4.0,2.0,68.25,6.0,0.0,,,,,,,,7.0,BAT,,12.0,PBKS,5.0,1.86,,
shreyasiyer,435.0,24.89,66.66,9.0,4.0,48.33,3.0,0.0,,,,,,,,9.0,BAT,,12.0,PBKS,6.14,2.08,,
suryanshshedge,7.0,45.45,0.0,3.0,0.0,2.33,1.0,0.0,,,,,,,,5.5,BAT,,5.0,PBKS,1.07,0.55,,
tristanstubbs,282.0,20.54,56.02,6.0,0.0,47.00,7.0,0.0,,,,,,,,8.0,BAT,,13.0,DC,5.16,1.92,,
viprajnigam,142.0,34.17,76.05,7.0,0.0,20.29,3.0,0.0,True,2024-100mb00000003560-cd0dc81babd711,318.0,61.63,5.38,35.0,0.0,7.5,AR,Leg break,13.0,DC,5.14,2.18,0.53,-0.08
xavierbartlett,11.0,46.66,36.36,1.0,0.0,11.00,5.0,0.0,True,2024-100mb00000003572-5731c9b6abdd11,96.0,77.08,3.75,10.0,0.0,6.5,BOWL,Right-arm medium,4.0,PBKS,1.1,1.26,0.38,-0.29
yashthakur,,,,,,,,,True,2022-100mb00000001550-b8b1d54854ee11,79.0,70.88,3.25,6.3,0.0,6.0,BOWL,Right-arm fast medium,2.0,PBKS,0.0,,0.18,-0.46
yuzvendrachahal,,,,,,,,,True,2018-100mb00000000010-b76159ade99b11,354.0,60.45,5.16,37.0,2.0,8.5,BOWL,Leg break googly,12.0,PBKS,0.0,,1.02,0.13
